,Y,C,D
0,2200.0000000000005,1700.0000000000005,0
1,2220.0000000000005,1700.0000000000005,-20
2,2236.0000000000005,1716.0000000000005,-40
3,2248.8,1728.8000000000004,-60
4,2259.04,1739.0400000000002,-80
5,2267.232,1747.232,-100
6,2273.7856,1753.7856000000002,-120
7,2279.02848,1759.0284800000002,-140
8,2283.222784,1763.222784,-160
9,2286.5782272,1766.5782272000001,-180
10,2289.26258176,1769.26258176,-200
11,2291.4100654080003,1771.4100654080003,-220
12,2293.1280523264004,1773.1280523264004,-240
13,2294.50244186112,1774.5024418611204,-260
14,2295.6019534888965,1775.6019534888962,-280
15,2296.4815627911175,1776.4815627911173,-300
16,2297.185250232894,1777.185250232894,-320
17,2297.7482001863154,1777.7482001863152,-340
18,2298.1985601490524,1778.1985601490524,-360
19,2298.5588481192417,1778.558848119242,-380
20,2298.8470784953934,1778.8470784953934,-400
21,2299.077662796315,1779.0776627963148,-420
22,2299.262130237052,1779.2621302370521,-440
23,2299.409704189642,1779.4097041896418,-460
24,2299.5277633517135,1779.5277633517137,-480
25,2299.622210681371,1779.622210681371,-500
26,2299.697768545097,1779.697768545097,-520
27,2299.758214836078,1779.7582148360777,-540
28,2299.806571868862,1779.8065718688624,-560
29,2299.8452574950898,1779.8452574950898,-580
30,2299.876205996072,1779.8762059960718,-600
