,Y,C,D,X,M
0,95271.72413793106,76237.37931034486,-100,2355.434482758621,9327.172413793107
1,2716707.491082045,2173385.992865636,-120,54784.149821640895,271470.7491082045
2,2716707.491082045,2173385.992865636,-120,54784.149821640895,271470.7491082045
3,2716707.491082045,2173385.992865636,-120,54784.149821640895,271470.7491082045
4,2173805.992865636,76237.37931034486,-220,43926.11985731272,217180.5992865636
5,2173805.992865636,2173385.992865636,-240,43926.11985731272,217180.5992865636
6,2173805.992865636,2173385.992865636,-240,43926.11985731272,217180.5992865636
7,76657.37931034486,2173385.992865636,-240,1983.1475862068971,7465.737931034486
8,2173805.992865636,1739064.7942925089,-340,43926.11985731272,217180.5992865636
9,2173805.992865636,1739064.7942925089,-360,43926.11985731272,217180.5992865636
10,2173805.992865636,1739064.7942925089,-360,43926.11985731272,217180.5992865636
11,1739484.7942925089,61345.90344827589,-360,35239.695885850175,173748.4794292509
12,1739484.7942925089,1739064.7942925089,-460,35239.695885850175,173748.4794292509
13,1739484.7942925089,1739064.7942925089,-480,35239.695885850175,173748.4794292509
14,61765.90344827589,1739064.7942925089,-480,1685.3180689655178,5976.590344827589
15,1739484.7942925089,1391607.8354340072,-480,35239.695885850175,173748.4794292509
16,1739484.7942925089,1391607.8354340072,-580,35239.695885850175,173748.4794292509
17,1739484.7942925089,1391607.8354340072,-600,35239.695885850175,173748.4794292509
18,1392027.8354340072,49432.722758620715,-600,28290.556708680146,139002.78354340073
19,1392027.8354340072,1391607.8354340072,-600,28290.556708680146,139002.78354340073
20,1392027.8354340072,1391607.8354340072,-700,28290.556708680146,139002.78354340073
21,49852.722758620715,1391607.8354340072,-720,1447.0544551724142,4785.272275862072
22,1392027.8354340072,1113642.2683472058,-720,28290.556708680146,139002.78354340073
23,1392027.8354340072,1113642.2683472058,-720,28290.556708680146,139002.78354340073
24,1392027.8354340072,1113642.2683472058,-820,28290.556708680146,139002.78354340073
25,1114062.2683472058,39902.17820689658,-840,22731.245366944117,111206.22683472058
26,1114062.2683472058,1113642.2683472058,-840,22731.245366944117,111206.22683472058
27,1114062.2683472058,1113642.2683472058,-840,22731.245366944117,111206.22683472058
28,40322.17820689658,1113642.2683472058,-940,1256.4435641379314,3832.217820689658
29,1114062.2683472058,891269.8146777647,-960,2355.434482758621,9327.172413793107
30,1114062.2683472058,891269.8146777647,-960,54784.149821640895,271470.7491082045
31,1114062.2683472058,891269.8146777647,-960,54784.149821640895,271470.7491082045
32,891689.8146777647,32277.742565517263,-1060,54784.149821640895,271470.7491082045
33,2173805.992865636,76237.37931034486,-220,43926.11985731272,217180.5992865636
34,2173805.992865636,2173385.992865636,-240,43926.11985731272,217180.5992865636
35,2173805.992865636,2173385.992865636,-240,43926.11985731272,217180.5992865636
36,76657.37931034486,2173385.992865636,-240,1983.1475862068971,7465.737931034486
37,2173805.992865636,1739064.7942925089,-340,43926.11985731272,217180.5992865636
38,2173805.992865636,1739064.7942925089,-360,43926.11985731272,217180.5992865636
39,2173805.992865636,1739064.7942925089,-360,43926.11985731272,217180.5992865636
40,1739484.7942925089,61345.90344827589,-360,35239.695885850175,173748.4794292509
41,1739484.7942925089,1739064.7942925089,-460,35239.695885850175,173748.4794292509
42,1739484.7942925089,1739064.7942925089,-480,35239.695885850175,173748.4794292509
43,61765.90344827589,1739064.7942925089,-480,1685.3180689655178,5976.590344827589
44,1739484.7942925089,1391607.8354340072,-480,35239.695885850175,173748.4794292509
45,1739484.7942925089,1391607.8354340072,-580,35239.695885850175,173748.4794292509
46,1739484.7942925089,1391607.8354340072,-600,35239.695885850175,173748.4794292509
47,1392027.8354340072,49432.722758620715,-600,28290.556708680146,139002.78354340073
48,1392027.8354340072,1391607.8354340072,-600,28290.556708680146,139002.78354340073
49,1392027.8354340072,1391607.8354340072,-700,28290.556708680146,139002.78354340073
50,49852.722758620715,1391607.8354340072,-720,1447.0544551724142,4785.272275862072
51,1392027.8354340072,1113642.2683472058,-720,28290.556708680146,139002.78354340073
52,1392027.8354340072,1113642.2683472058,-720,28290.556708680146,139002.78354340073
53,1392027.8354340072,1113642.2683472058,-820,28290.556708680146,139002.78354340073
54,1114062.2683472058,39902.17820689658,-840,22731.245366944117,111206.22683472058
55,1114062.2683472058,1113642.2683472058,-840,22731.245366944117,111206.22683472058
56,1114062.2683472058,1113642.2683472058,-840,22731.245366944117,111206.22683472058
57,40322.17820689658,1113642.2683472058,-940,1256.4435641379314,3832.217820689658
